,Unnamed: 0,genre_ids,id,original_language,popularity,release_date,vote_average,vote_count,tconst,primary_title,start_year,runtime_minutes,G1,G2,G3,id_budg,release_date_budg,production_budget,domestic_gross,worldwide_gross,release_month
Abduction,2487,"[53, 28, 9648]",59965,en,17.69,2011-09-23,5.8,1791,tt5943940,Abduction,2017.0,90.0,Action,Comedy,Drama,96,"Sep 23, 2011",35000000,28087155,86648359,9
Abduction,2487,"[53, 28, 9648]",59965,en,17.69,2011-09-23,5.8,1791,tt7867360,Abduction,2019.0,106.0,Action,Sci-Fi,,96,"Sep 23, 2011",35000000,28087155,86648359,9
About Last Night,11263,"[35, 10749]",222899,en,8.465,2014-02-14,6.0,312,tt1826590,About Last Night,2014.0,100.0,Comedy,Romance,,58,"Feb 14, 2014",13000000,48637684,50445860,2
About Time,7940,"[35, 18, 878]",122906,en,14.133,2013-11-08,7.9,3981,tt2194499,About Time,2013.0,123.0,Comedy,Drama,Fantasy,95,"Nov 1, 2013",12000000,15323921,89309178,11
Above and Beyond,16159,"[10752, 99, 12, 36]",315839,en,0.782,2015-01-30,8.0,5,tt2704752,Above and Beyond,2014.0,90.0,Adventure,Documentary,History,38,"Jan 30, 2015",1300000,288751,288751,1
Above and Beyond,16159,"[10752, 99, 12, 36]",315839,en,0.782,2015-01-30,8.0,5,tt7491090,Above and Beyond,2014.0,56.0,Documentary,,,38,"Jan 30, 2015",1300000,288751,288751,1
Abraham Lincoln: Vampire Hunter,5262,"[28, 14, 27]",72331,en,12.498,2012-06-22,5.6,2009,tt1611224,Abraham Lincoln: Vampire Hunter,2012.0,105.0,Action,Fantasy,Horror,65,"Jun 22, 2012",67500000,37519139,137489730,6
Absentia,2614,"[9648, 27, 53]",74777,en,10.357000000000001,2011-03-03,5.9,175,tt1610996,Absentia,2011.0,87.0,Drama,Horror,Mystery,6,"Dec 31, 2011",70000,0,8555,3
Absentia,2614,"[9648, 27, 53]",74777,en,10.357000000000001,2011-03-03,5.9,175,tt7501544,Absentia,2011.0,60.0,Sci-Fi,,,6,"Dec 31, 2011",70000,0,8555,3
Accidental Love,14608,"[10749, 35]",316002,en,6.487,2015-02-10,4.0,172,tt1137470,Accidental Love,2015.0,100.0,Comedy,Romance,,55,"Mar 17, 2015",26000000,0,135436,2
Acrimony,24136,"[18, 53]",464502,en,10.6,2018-03-30,6.6,186,tt6063050,Acrimony,2018.0,120.0,Drama,Romance,Thriller,35,"Mar 30, 2018",20000000,43549096,46627836,3
Act of Valor,5267,"[28, 53, 10752]",75674,en,12.197000000000001,2012-02-24,6.3,583,tt1591479,Act of Valor,2012.0,110.0,Action,Adventure,Drama,52,"Feb 24, 2012",12000000,70012847,82497035,2
Action Jackson,8246,"[28, 12, 35, 80, 18]",10117,en,6.744,1988-02-12,5.2,81,tt0403935,Action Jackson,2014.0,144.0,Action,Thriller,,8,"Feb 12, 1988",7000000,20257000,20257000,2
Action Point,24044,"[35, 18]",454283,en,12.84,2018-06-01,5.2,136,tt6495770,Action Point,2018.0,85.0,Comedy,,,50,"Jun 1, 2018",19000000,5059608,5103675,6
